Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
NVT-USD,0.028193697,2021/11/12,12:25 GMT,1.4077872E-5,0.028400145,0.028656026,0.028132722,110433,,,,,,,
XDN-USD,9.869443E-4,2021/11/12,12:26 GMT,-2.3150549E-4,0.001157649,0.0011897339,9.283148E-4,21544,,,,,,,
CMT1-USD,0.009867491,2021/11/12,12:26 GMT,-5.7391822E-5,0.010082444,0.010110743,0.009659958,1318226,,,,,,,
INSTAR-USD,0.04042412,2021/11/12,12:26 GMT,-0.0024197027,0.04111585,0.041612733,0.040192675,44793,,,,,,,
AEON-USD,0.51086307,2021/11/12,12:26 GMT,-0.005987704,0.5458553,0.5472186,0.5033341,15969,,,,,,,
IDNA-USD,0.16468191,2021/11/12,12:25 GMT,-0.009205952,0.16819932,0.17302018,0.16468191,212516,,,,,,,
BLOCK-USD,1.1476164,2021/11/12,12:26 GMT,-0.013538361,1.1549782,1.1582651,1.1342416,81989,,,,,,,
HTML-USD,1.812445E-4,2021/11/12,12:26 GMT,4.360394E-6,1.8254723E-4,1.875667E-4,1.7471431E-4,8844,,,,,,,
DNA1-USD,4.8630332E-4,2021/11/12,12:26 GMT,1.21018384E-4,4.949794E-4,4.9990846E-4,4.8265047E-4,375463,,,,,,,
LEDU-USD,0.04145773,2021/11/12,12:26 GMT,-0.018358327,0.06004122,0.061177146,0.019069126,104169,,,,,,,
ACT-USD,0.010085443,2021/11/12,12:25 GMT,-2.0986423E-5,0.010645195,0.011291266,0.009921102,1610117,,,,,,,
SCP-USD,0.260533,2021/11/12,12:25 GMT,-0.002514273,0.2620138,0.266668,0.25829852,6325,,,,,,,
UBQ-USD,0.23734803,2021/11/12,12:26 GMT,-0.0017303377,0.23132356,0.24297877,0.2250223,29765,,,,,,,
YOYOW-USD,0.02110904,2021/11/12,12:25 GMT,-0.0011753887,0.021945039,0.022637999,0.020368041,493197,,,,,,,
TRTL-USD,9.082992E-5,2021/11/12,12:24 GMT,-6.074115E-7,9.25469E-5,9.3827206E-5,8.960606E-5,267137,,,,,,,
MRX-USD,6.403085E-4,2021/11/12,12:26 GMT,8.3718274E-5,5.6700315E-4,6.538835E-4,5.662894E-4,3,,,,,,,
SCC3-USD,1.2407433,2021/11/12,12:25 GMT,0.0020008087,1.2521644,1.2889739,1.2098244,40022,,,,,,,
HPB-USD,0.15074407,2021/11/12,12:26 GMT,0.0028043538,0.15252891,0.15440236,0.14694892,684497,,,,,,,
RINGX-USD,0.037917215,2021/11/12,12:25 GMT,-0.0010591857,0.037747443,0.039195243,0.037652317,488534,,,,,,,
