Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
MHGU,MERITAGE HOSPTLTY GRP INC,OTCQX U.S. Premier,21.045000,-2.794500,410,Common Stock,USA,Michigan
MHGUP,MERITAGE HOSPTLTY PFD B,OTCQX U.S. Premier,36.000000,,0,Preferred Stock,USA,Michigan
TYCB,TAYLOR(CLVN B)BKG BRLN MD,OTCQX U.S. Premier,36.000000,0.000000,181,Common Stock,USA,Maryland
STBI,STURGIS BANCORP INC,OTCQX U.S. Premier,19.049900,-0.262300,4595,Common Stock,USA,Michigan
PSBP,PSB HOLDING CORP,OTCQX U.S. Premier,28.000000,3.244800,200,Common Stock,USA,Maryland
MNBP,MARS BANCORP INC,OTCQX U.S. Premier,21.200000,3.163000,400,Common Stock,USA,Pennsylvania
MNAT,MARQUETTE NATL CORP,OTCQX U.S. Premier,36.812500,,0,Common Stock,USA,Illinois
KISB,KISH BANCORP INC,OTCQX U.S. Premier,38.000000,,0,Common Stock,USA,Pennsylvania
KCLI,KANSAS CITY LIFE INS NEW,OTCQX U.S. Premier,41.050000,0.122000,825,Common Stock,USA,Missouri
FBAK,FIRST NB ALASKA,OTCQX U.S. Premier,236.890000,0.590200,88,Common Stock,USA,Alaska
FETM,FENTURA FINANCIAL INC,OTCQX U.S. Premier,26.720000,,0,Common Stock,USA,Michigan
ENBP,ENB FINANCIAL CORP PA,OTCQX U.S. Premier,22.010000,0.000000,954,Common Stock,USA,Pennsylvania
DIMC,DIMECO INC,OTCQX U.S. Premier,36.720100,0.082000,728,Common Stock,USA,Pennsylvania
CNIG,CORNING NATURAL GAS HLDG,OTCQX U.S. Premier,24.240000,0.082600,3300,Common Stock,USA,New York
CBAF,CITBA FINANCIAL CORP,OTCQX U.S. Premier,28.500000,,0,Common Stock,USA,Indiana
CPTP,CAPITAL PROPERTIES INC A,OTCQX U.S. Premier,12.100000,,0,Common Stock,USA,Rhode Island
BHWB,BLACKHAWK BANCORP INC,OTCQX U.S. Premier,35.250000,,0,Common Stock,USA,Wisconsin
CFNB,CALIFORNIA FIRST LEASING,OTCQX U.S. Premier,18.160000,-0.493200,300,Common Stock,USA,California
BNCC,BNCCORP INC,OTCQX U.S. Premier,41.940000,3.072000,4660,Common Stock,USA,North Dakota
CNAF,COMML NATL FINCL CORP PA,OTCQX U.S. Premier,20.000000,,0,Common Stock,USA,Pennsylvania
DBIN,DACOTAH BANKS INC,OTCQX U.S. Premier,34.500000,,0,Common Stock,USA,South Dakota
HLAN,HEARTLAND BANC CORP,OTCQX U.S. Premier,91.450000,,100,Common Stock,USA,Ohio
CMTV,COMMUTY BANCORP VT,OTCQX U.S. Premier,19.740000,1.274900,800,Common Stock,USA,Vermont
FMBM,F & M BANK CORP,OTCQX U.S. Premier,28.800000,,3,Common Stock,USA,Virginia
PPBN,PINNACLE BANKSHARES CORP,OTCQX U.S. Premier,23.840000,3.427300,140,Common Stock,USA,Virginia
WAYN,WAYNE SAVINGS BNCSHS INC,OTCQX U.S. Premier,26.710000,4.335900,354,Common Stock,USA,Ohio
NASB,NASB FINCL INC,OTCQX U.S. Premier,64.750000,,1,Common Stock,USA,Missouri
UBNC,UB BANCORP,OTCQX U.S. Premier,16.500000,,0,Common Stock,USA,North Carolina
AMBZ,AMER BUSINESS BK CA,OTCQX U.S. Premier,38.950000,0.000000,542,Common Stock,USA,California
FMCB,FRMRS&MER BNCORP LODI CA,OTCQX U.S. Premier,911.000000,0.885900,10,Common Stock,USA,California
CBKM,CONSUMERS BANCORP INC,OTCQX U.S. Premier,22.000000,,50,Common Stock,USA,Ohio
TYFG,TRI COUNTY FINCL GRP CORP,OTCQX U.S. Premier,47.050100,,0,Common Stock,USA,Illinois
PSBQ,PSB HOLDINGS INC (WI),OTCQX U.S. Premier,25.550000,,0,Common Stock,USA,Wisconsin
ISBA,ISABELLA BANK CORP,OTCQX U.S. Premier,26.450000,0.000000,400,Common Stock,USA,Michigan
CSVI,COMPUTER SVCS INC,OTCQX U.S. Premier,55.050000,0.935100,2774,Common Stock,USA,Kentucky
PFLC,PACIFIC FINCL CORP,OTCQX U.S. Premier,12.000000,0.000000,1000,Common Stock,USA,Washington
CYSM,COMMUTY BANCORP SAN MAR,OTCQX U.S. Premier,12.030100,-0.577700,100,Common Stock,USA,California
CWBK,CW BANCORP,OTCQX U.S. Premier,31.430000,-1.007900,22900,Common Stock,USA,California
BFCC,BANKFIRST CAP CORP,OTCQX U.S. Premier,29.000000,-0.854700,350,Common Stock,USA,Mississippi
KTHN,KATAHDIN BANKSHARES CORP,OTCQX U.S. Premier,22.750000,1.156100,3064,Common Stock,USA,Maine
HARL,HARLEYSVILLE FINCL CORP,OTCQX U.S. Premier,25.050000,0.000000,750,Common Stock,USA,Pennsylvania
MVLY,MISSION VALLEY BANCORP,OTCQX U.S. Premier,14.590000,,0,Common Stock,USA,California
EFSI,EAGLE FINCL SVCS INC,OTCQX U.S. Premier,33.750000,,3,Common Stock,USA,Virginia
DMKBA,DENMARK BANCSHARES INC A,OTCQX U.S. Premier,24.750000,0.000000,600,Common Stock,USA,Wisconsin
SCZC,SANTA CRUZ COUNTY BK (CA),OTCQX U.S. Premier,50.000000,0.220500,1164,Common Stock,USA,California
FDVA,FREEDOM BANK OF VIRGINIA,OTCQX U.S. Premier,12.550000,0.000000,2000,Common Stock,USA,Virginia
RYFL,ROYAL FINANCIAL INC,OTCQX U.S. Premier,19.300000,,99,Common Stock,USA,Illinois
FRSB,FIRST RESOURCE BANK (PA),OTCQX U.S. Premier,11.000000,0.000000,210,Common Stock,USA,Pennsylvania
CFST,COMMUNITIES FIRST FINL CP,OTCQX U.S. Premier,50.250000,,0,Common Stock,USA,California
TRVR,TWO RIVERS FINCL GRP INC,OTCQX U.S. Premier,42.000000,,0,Common Stock,USA,Iowa
ARBV,AMERICAN RIVIERA BK (CA),OTCQX U.S. Premier,19.900000,0.759500,100,Common Stock,USA,California
FISB,1ST CAP BANCORP,OTCQX U.S. Premier,13.440000,,0,Common Stock,USA,California
SBKK,SUNCREST BK (VISALIA CA),OTCQX U.S. Premier,16.390000,,0,Common Stock,USA,California
GMGI,GOLDEN MATRIX GROUP INC,OTCQX U.S. Premier,8.630000,-2.485900,78493,Common Stock,USA,Nevada
OTCM,OTC MARKETS GROUP INC A,OTCQX U.S. Premier,50.250000,0.500000,1716,Common Stock,USA,New York
VLLX,VALLEY REPUBLIC BANCORP,OTCQX U.S. Premier,42.000000,,0,Common Stock,USA,California
EMYB,EMBASSY BANCORP INC,OTCQX U.S. Premier,19.820000,3.444700,2455,Common Stock,USA,Pennsylvania
CNBB,CNB COMMUNITY BNCP INC,OTCQX U.S. Premier,44.000000,2.325600,400,Common Stock,USA,Michigan
CTUY,CENTURY NEXT FINANCIAL CP,OTCQX U.S. Premier,33.850000,-0.441200,328,Common Stock,USA,Louisiana
PBAM,PRIVATE BANCORP OF AMER,OTCQX U.S. Premier,25.750000,4.251000,17943,Common Stock,USA,California
UNIF,U&I FINANCIAL CORP,OTCQX U.S. Premier,10.000000,,0,Common Stock,USA,Washington
WBBW,WESTBURY BANCORP INC,OTCQX U.S. Premier,29.350000,,0,Common Stock,USA,Wisconsin
FFMR,FIRST FARMERS FINANCIAL,OTCQX U.S. Premier,49.750000,0.505100,500,Common Stock,USA,Indiana
IFHI,INTEGRATED FINL HLDGS INC,OTCQX U.S. Premier,30.990000,,0,Common Stock,USA,North Carolina
CBWA,COMMENCEMENT BANCORP INC,OTCQX U.S. Premier,13.100000,-1.503800,300,Common Stock,USA,Washington
PMHG,PRIME MERIDIAN HLDG CO,OTCQX U.S. Premier,23.270000,,0,Common Stock,USA,Florida
SABK,SOUTH ATLANTIC BANCSHARES,OTCQX U.S. Premier,14.950000,,0,Common Stock,USA,South Carolina
MCBI,MOUNTAIN COMM BANCORP INC,OTCQX U.S. Premier,28.100000,,0,Common Stock,USA,Tennessee
CBBI,CBB BANCORP INC,OTCQX U.S. Premier,12.200000,,0,Common Stock,USA,California
VTYB,VICTORY BANCORP INC,OTCQX U.S. Premier,14.000000,,0,Common Stock,USA,Pennsylvania
CNBN,CNB BK SHS INC,OTCQX U.S. Premier,21.950000,-0.227300,500,Common Stock,USA,Illinois
MBLU,MORRIS ST BANCSHARES INC,OTCQX U.S. Premier,80.000000,,0,Common Stock,USA,Georgia
PBNC,PB FINANCIAL CORPORATION,OTCQX U.S. Premier,36.000000,,0,Common Stock,USA,North Carolina
CBTN,CITIZENS BNCRP INVT INC A,OTCQX U.S. Premier,48.000000,,0,Common Stock,USA,Tennessee
RYES,RISE GOLD CORP,OTCQX U.S.,0.347500,-8.552600,28350,Foreign Ordinary Shares,Canada,British Columbia
AIXN,AIXIN LIFE INTL INC,OTCQX U.S.,5.500000,,0,Common Stock,China,
JRSS,JRSIS HEALTH CARE CORP,OTCQX U.S.,0.295000,,0,Common Stock,China,
SMDM,SINGING MACHINE CO INC,OTCQX U.S.,0.310600,,43,Common Stock,USA,Florida
NOBH,NOBILITY HOMES INC,OTCQX U.S.,29.200000,0.689700,1250,Common Stock,USA,Florida
CRMZ,CREDITRISKMONITOR.COM INC,OTCQX U.S.,2.010000,-4.285700,1621,Common Stock,USA,New York
GCEH,GLOBAL CLEAN ENGY HLDGS,OTCQX U.S.,3.850000,-1.785700,10826,Common Stock,USA,California
MACE,MACE SECURITY INTL INC,OTCQX U.S.,0.365000,1.735100,110719,Common Stock,USA,Ohio
LYBC,LYONS BANCORP INC,OTCQX U.S.,40.010000,,0,Common Stock,USA,New York
ENZN,ENZON PHARMS INC,OTCQX U.S.,0.340000,-2.801600,20080,Common Stock,USA,New Jersey
CNIGO,CORNING NAT 6% PFD SER A,OTCQX U.S.,26.100000,,0,Preferred Stock,USA,New York
CNIGP,CORNING NAT 4.8% PFD B,OTCQX U.S.,29.500000,,0,Preferred Stock,USA,New York
CPKF,CHESAPEAKE FINCL SHS INC,OTCQX U.S.,30.090000,,1,Common Stock,USA,Virginia
BDCO,BLUE DOLPHIN ENERGY CO,OTCQX U.S.,0.329000,0.887800,24747,Common Stock,USA,Texas
BRST,BROAD STREET REALTY INC,OTCQX U.S.,2.300000,,0,Common Stock,USA,Maryland
BVHBB,BLUEGREEN VACATIONS CL B,OTCQX U.S.,27.250000,,0,Common Stock,USA,Florida
DVCR,DIVERSICARE HLTHCARE SVCS,OTCQX U.S.,9.900000,-0.100900,41986,Common Stock,USA,Tennessee
AXAS,ABRAXAS PETROLEUM CORP,OTCQX U.S.,1.750000,-5.405400,23076,Common Stock,USA,Texas
HSBI,HERITAGE SOUTHEAST BANCRP,OTCQX U.S.,26.100000,-0.191200,200,Common Stock,USA,Georgia
DPSI,DECISIONPOINT SYST INC,OTCQX U.S.,2.200000,,0,Common Stock,USA,California
INBP,INTEGRATED BIOPHARMA INC,OTCQX U.S.,1.080000,0.000000,5178,Common Stock,USA,New Jersey
HRTH,HARTE HANKS INC,OTCQX U.S.,7.100000,-1.662000,8580,Common Stock,USA,Texas
